IJK,IX,IY,IZ,XC,YC,ZC,__in,caco3_OK,caco3_ID2,caco3_NN,caco3_Lagrange,caco3_KVar
2839,11,1,2,309475.0,9762435.0,1185.0,0.75,82.42333,83.507126,92.527,-0.08705857,0.31440058
2840,12,1,2,309485.0,9762435.0,1185.0,0.75,82.316666,83.43175,92.32667,-0.0687006,0.17282647
2841,13,1,2,309495.0,9762435.0,1185.0,0.25,81.72988,82.65778,64.92733,-0.13705401,0.2986346
2864,8,2,2,309445.0,9762445.0,1185.0,0.25,83.67439,83.89017,62.877865,-0.101663224,0.51811624
2865,9,2,2,309455.0,9762445.0,1185.0,0.625,85.03515,86.373085,93.7998,-0.091190375,0.4879019
2866,10,2,2,309465.0,9762445.0,1185.0,0.875,86.96884,89.564766,93.7998,-0.07568073,0.4182887
2867,11,2,2,309475.0,9762445.0,1185.0,1.0,89.10617,91.92192,92.527,-0.054540597,0.2814938
2868,12,2,2,309485.0,9762445.0,1185.0,1.0,90.835,92.58878,92.32667,-0.03803486,0.1342092
2869,13,2,2,309495.0,9762445.0,1185.0,0.625,82.5735,83.74205,92.32667,-0.081223115,0.2659384
2870,14,2,2,309505.0,9762445.0,1185.0,0.125,81.75275,82.995514,92.32667,-0.20304675,0.49329215
2892,8,3,2,309445.0,9762455.0,1185.0,0.125,82.31114,81.973335,62.877865,-0.088433556,0.46694955
2893,9,3,2,309455.0,9762455.0,1185.0,0.375,83.89626,84.60168,62.877865,-0.08343653,0.4663407
2894,10,3,2,309465.0,9762455.0,1185.0,0.75,85.82827,87.96504,93.7998,-0.07717339,0.4409451
2895,11,3,2,309475.0,9762455.0,1185.0,1.0,87.8005,90.674164,93.7998,-0.06760875,0.3766287
2896,12,3,2,309485.0,9762455.0,1185.0,1.0,89.05387,91.7567,93.7998,-0.06661626,0.33202347
2897,13,3,2,309495.0,9762455.0,1185.0,0.875,88.8955,91.70423,92.32667,-0.09005947,0.3942609
2898,14,3,2,309505.0,9762455.0,1185.0,0.375,88.28614,91.188675,92.32667,-0.14481391,0.52052975
2921,9,4,2,309455.0,9762465.0,1185.0,0.25,82.90745,83.04108,62.877865,-0.08370033,0.46775457
2922,10,4,2,309465.0,9762465.0,1185.0,0.625,84.76885,86.09483,93.7998,-0.08550666,0.48244745
2923,11,4,2,309475.0,9762465.0,1185.0,0.875,86.34064,88.57576,93.7998,-0.08763636,0.4768963
2924,12,4,2,309485.0,9762465.0,1185.0,1.0,87.45986,89.96308,93.7998,-0.09295883,0.47589236
2925,13,4,2,309495.0,9762465.0,1185.0,1.0,87.79318,90.26109,93.7998,-0.107887946,0.51239705
2926,14,4,2,309505.0,9762465.0,1185.0,0.75,87.38484,90.18424,92.32667,-0.1627318,0.5947062
2927,15,4,2,309515.0,9762465.0,1185.0,0.25,86.9734,89.73173,92.32667,-0.18953344,0.6668229
2949,9,5,2,309455.0,9762475.0,1185.0,0.25,82.65179,82.53119,62.877865,-0.09102839,0.49776992
2950,10,5,2,309465.0,9762475.0,1185.0,0.5,84.099365,84.824265,62.877865,-0.09761511,0.52906656
