IJK,IX,IY,IZ,XC,YC,ZC,__in
4495,15,10,3,309515.0,9762525.0,1195.0,1.0
4496,16,10,3,309525.0,9762525.0,1195.0,1.0
4497,17,10,3,309535.0,9762525.0,1195.0,1.0
4498,18,10,3,309545.0,9762525.0,1195.0,0.625
4499,19,10,3,309555.0,9762525.0,1195.0,0.125
4517,9,11,3,309455.0,9762535.0,1195.0,0.25
4518,10,11,3,309465.0,9762535.0,1195.0,0.625
4519,11,11,3,309475.0,9762535.0,1195.0,0.875
4520,12,11,3,309485.0,9762535.0,1195.0,1.0
4521,13,11,3,309495.0,9762535.0,1195.0,1.0
4522,14,11,3,309505.0,9762535.0,1195.0,1.0
